task,domain,split,sample_id,text,aspect,label_name,label_id
absa,laptop,train,1170,"Beta had better quality, but VHS became the industry standard.",quality,conflict,3
absa,laptop,train,3017,"The improvements to the OS have been relatively gradual, but substantive.",OS,positive,0
absa,laptop,train,2927,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,costed,neutral,2
absa,laptop,train,1623,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,boot up,negative,1
absa,laptop,train,3004,I dual boot with Linux and that other security-prone OS and it performs flawlessly.,security-prone OS,neutral,2
absa,laptop,train,2210,"It is also very lightweight, making transporting this computer very easy.",transporting,positive,0
absa,laptop,train,2083,It's priced very reasonable and works very well right out of the box.,priced,positive,0
absa,laptop,train,3079,I took off a star because the machine has a lot of junk software on it.,software,negative,1
absa,laptop,train,1764,It has all the features that are necessary for college and if not they are able to be added onto the computer.,features,positive,0
absa,laptop,train,76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,positive,0
absa,laptop,train,913," A MONTH LATER, we reinstall the OS (Vista).",OS (Vista),negative,1
absa,laptop,train,2851,My first problem was with the pre-loaded Norton Firewall/Security program.,pre-loaded Norton Firewall/Security program,negative,1
absa,laptop,train,810,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative,1
absa,laptop,train,2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",positive,0
absa,laptop,train,839,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive,0
absa,laptop,train,312,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iLife software,positive,0
absa,laptop,train,455,"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",iTunes,positive,0
absa,laptop,train,453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Garageband,neutral,2
absa,laptop,train,1561,"With awesome graphics and assuring security, it's perfect!",security,positive,0
absa,laptop,train,387,The keyboard is slick and quiet and not bulky like some other laptops I have had in the past.,keyboard,positive,0
absa,laptop,train,1129,"Did I mention everything about it, from size to weight to keyboard screams BULK?",weight,negative,1
absa,laptop,train,1752,"however, I may have inadvertently thrown out one of the batteries with the shipping carton.",shipping carton,neutral,2
absa,laptop,train,2705,Registration/1st use is easy.,use,positive,0
absa,laptop,train,1438,"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",keyboard,negative,1
absa,laptop,train,1095,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",neutral,2
absa,laptop,train,76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,positive,0
absa,laptop,train,1749,"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",windows,neutral,2
absa,laptop,train,905,I had to pay $100 for a universal charger for this cheap $300 laptop.,universal charger,negative,1
absa,laptop,train,640,They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,warranty,negative,1
absa,laptop,train,2247,iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,iLife,positive,0
absa,laptop,train,2084,"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.",Win 7,positive,0
absa,laptop,train,2311,"The battery holds up well, it's built very solidly, and runs fast.",battery,positive,0
absa,laptop,train,496,"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",pixel sizes,negative,1
absa,laptop,train,2347,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OS,neutral,2
absa,laptop,train,1434,"More times that not the screen pops up saying I have a bad internet connection, or the page can't be displayed.",internet connection,negative,1
absa,laptop,train,2314,"Applications open in seconds and there are no lags, hiccups or awkward moments when you wonder whether your computer is out for tea.",Applications,positive,0
absa,laptop,train,2350,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,browsing,positive,0
absa,laptop,train,1051,-Touchpad will take a bit of time to get used to.,Touchpad,neutral,2
absa,laptop,train,2992,Battery is not upgradable to a longer life battery.,battery,negative,1
absa,laptop,train,2755,"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",windows 7 home premium,positive,0
absa,laptop,train,1801,"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",disk throughput,neutral,2
absa,laptop,train,1569,"lightweight, long battery life, excellent transition from PC;",battery life,positive,0
absa,laptop,train,406,HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.,cost,negative,1
absa,laptop,train,1088,A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,SERVICE,negative,1
absa,laptop,train,2836,"the mouse on the pad, the left button always sticks.",mouse on the pad,neutral,2
absa,laptop,train,2594,It made the computer much easier to use and navigate.,navigate,positive,0
absa,laptop,train,854,"  The hard drive crashed as well, and I had to buy a new  power cord.",hard drive,negative,1
absa,laptop,train,2082,"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",word processing,neutral,2
absa,laptop,train,2738,Comfterbale to use light easy to transport.,transport,positive,0
absa,laptop,train,2456,Its good for playing my apps on Facebook or watching movies.,playing,positive,0
absa,laptop,train,2783,Was not happy with one of the programs on it.,one of the programs,negative,1
absa,laptop,train,1948,You can't even get a satellite card which is why I bought to begin with.,satellite card,negative,1
absa,laptop,train,331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,neutral,2
absa,laptop,train,1196,"The Apple will run Internet Explorer, but at an amazingly slow rate.",Internet Explorer,conflict,3
absa,laptop,train,848,"How Toshiba handles the repair seems to vary, some folks  indicate that they were charged for even an intial fix, others had the  repair done 5 times.",repair,positive,0
absa,laptop,train,2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive,0
absa,laptop,train,942,  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,manuf,negative,1
absa,laptop,train,60,"Whenever I call Dell about an unrelated problem, they ask me if my laptop is running slowly and if I'd like to purchase more memory for $75.",memory,neutral,2
absa,laptop,train,105,"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.",Windows 7,positive,0
absa,laptop,train,319,It is super easy to use.,use,positive,0
absa,laptop,train,2143,Quality Display  I was surprised with the performance and quality of this HP Laptop.,Quality Display,positive,0
absa,laptop,train,2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iWork,positive,0
absa,laptop,train,941,I had it four months when my disc drive refused to open.,disc drive,negative,1
absa,laptop,train,2932,To be honest i think it was faulty equipment or something but idk.,equipment,negative,1
absa,laptop,train,1532,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,GarageBand,neutral,2
absa,laptop,train,271,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",battery life,negative,1
absa,laptop,train,1496,"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual.",programs,positive,0
absa,laptop,train,2592,I wasn't a big fan of the Netbooks but this one was very well designed.,designed,positive,0
absa,laptop,train,2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,positive,0
absa,laptop,train,2612,It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,programs,positive,0
absa,laptop,train,2807,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",touch-pad,neutral,2
absa,laptop,train,2830,Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,carry,positive,0
absa,laptop,train,2969,The laptop was very easy to set up.,set up,positive,0
absa,laptop,train,100,"I had of course bought a 3 year warranty, so I sent it in to be replaced and (almost 2 months later) the dv4 is what the sent me as a replacement.",3 year warranty,neutral,2
absa,laptop,train,2833,the laptop preformed pretty well.,preformed,positive,0
absa,laptop,train,2239,"After doing extensive research, macconnection had the lowest price on the 15"" MBP i5.",price,positive,0
absa,laptop,train,312,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",runs,positive,0
absa,laptop,train,1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in mic,negative,1
absa,laptop,train,3031,I know what 7 hrs of battery looks like.,battery,positive,0
absa,laptop,train,2274,"We use the built in tools often, iTunes is open nearly every day and works great with my iPhone.",iTunes,positive,0
absa,laptop,train,532,All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,quality,positive,0
absa,laptop,train,2916,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,computing,negative,1
absa,laptop,train,2167,There are no viruses or spyware to worry about like on a Windows computer.,Windows,negative,1
absa,laptop,train,575,"I work in film editing and post production, so I need a laptop that not only has power, but memory and speed as well.",speed,neutral,2
absa,laptop,train,1174,") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",extended warranty,neutral,2
absa,laptop,train,2782,"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",mouse command buttons,negative,1
absa,laptop,train,2927,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,left mouse key,negative,1
absa,laptop,train,2954,"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",run,negative,1
absa,laptop,train,2946,Everything about this computer is easy to use.,use,positive,0
absa,laptop,train,1956,"Actually, I had noticed the one on the sales floor also didn't have sound!",sound,negative,1
absa,laptop,train,1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,negative,1
absa,laptop,train,138,only good thing is the graphics quality.,graphics quality,positive,0
absa,laptop,train,1933,"I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.",motherboard,negative,1
absa,laptop,train,2497,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,OS X,neutral,2
absa,laptop,train,2596,This system came loaded with Windows 7 Starter.,Windows 7 Starter,neutral,2
absa,laptop,train,1080,"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",HDD,positive,0
absa,laptop,train,980,     First it burned or fused the power adapter plug.,power adapter plug,negative,1
absa,laptop,train,2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,positive,0
absa,laptop,train,1399,the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,wireless switch,negative,1
absa,laptop,train,162,/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,grafics card,positive,0
absa,laptop,train,2529,"Well, I have to say since I bought my Mac, I won't ever go back to any Windows.",Windows,negative,1
absa,laptop,train,2110,I 'have had it for about a 1 1/2 and yes I have had an issue with it one month out of warranty.,warranty,neutral,2
absa,laptop,train,1757,"Great Laptop for the price, works well with action pack games.",action pack games,neutral,2
absa,laptop,train,2455,"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.",17 ince screen,neutral,2
absa,laptop,train,990,The technical service for dell is so 3rd world it might as well not even bother.,technical service for dell,negative,1
absa,laptop,train,253,Another issue I have with it is the battery.,battery,negative,1
absa,laptop,train,2916,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,processor,negative,1
absa,laptop,train,2784,"It was not clear that the Microsoft Student Edition that was loaded on the computer, was a six month trial.",Microsoft Student Edition,negative,1
absa,laptop,train,1600,"Also, one of the users mentioned how the edges on the macbook is sharp, if you have money to spend on one of the incase shells, it doesn't seem to be a problem.",incase shells,positive,0
absa,laptop,train,132,For some odd reasons the computer doesn't reconize the operation system.,operation system,negative,1
absa,laptop,train,219,The macbooks are small enough to be very portable yet hold tons of information and performance.,performance,positive,0
absa,laptop,train,2748,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",carry,positive,0
absa,laptop,train,2808,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,Cords,negative,1
absa,laptop,train,2393,"I love the size, keyboard, the functions.",size,positive,0
absa,laptop,train,1237,The So called laptop Runs to Slow and I hate it!,Runs,negative,1
absa,laptop,train,1558,"The Macbook starts fast, doesn't crash, has a fantastic display, is small and light (I have the 13.3"" model), and isn't always complaining about updates, lost connections, errors, blue screens, etc.",starts,positive,0
absa,laptop,train,3044,"So, the hard disk capacity really doesn't matter to me.",hard disk capacity,neutral,2
absa,laptop,train,3046,"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.",boot up,neutral,2
absa,laptop,train,1746,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",Screen,neutral,2
absa,laptop,train,2090,"Great product, very easy to use and great graphics.",use,positive,0
absa,laptop,train,490,But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.,adding the bluetooth,negative,1
absa,laptop,train,1348,in May I started having problems with the USB ports not working.,USB ports,negative,1
absa,laptop,train,1660,"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",program,positive,0
absa,laptop,train,1097," I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!",hard drive,negative,1
absa,laptop,train,2625,The resolution on the screen is almost pure HD.,resolution on the screen,positive,0
absa,laptop,train,795,so the fact that the computer does not work on the 24 twenty fourth day is my fault.,work,negative,1
absa,laptop,train,374,"Love the graphics, awesome programs (including Garageband), and really cool default background.",programs,positive,0
absa,laptop,train,3047,"(Beware, their staff could send you back making you feel that only they know what a computer is.",staff,negative,1
absa,laptop,train,2654,Other than that its a great performing machine and well meets all my needs and more.,performing,positive,0
absa,laptop,train,1743,"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.",external keyboard,neutral,2
absa,laptop,train,2864,I love WIndows 7 which is a vast improvment over Vista.,Vista,negative,1
absa,laptop,train,2486,The real stand out on this computer is the feel of the keyboard and it's speed.,speed,positive,0
absa,laptop,train,1592,Enjoy that Toshib force and durability unparalleled,durability,positive,0
absa,laptop,train,1599,"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",stand,neutral,2
absa,laptop,train,2624,The battery life is amazingly long at 7hrs and 5hrs if you use it.,battery life,positive,0
absa,laptop,train,2398,"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",Internet focused activity,neutral,2
absa,laptop,train,2304,"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",usb ports,neutral,2
absa,laptop,train,1441,STOPPED BOOTING UP less than a week after my one-year warranty was up.,BOOTING UP,negative,1
absa,laptop,train,15,Runs fast and the regular layout keyboard is so much better.,Runs,positive,0
absa,laptop,train,778,"I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter, so it's not just an isolated incident!!!",power adapter,negative,1
absa,laptop,train,1283,"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",hinge,negative,1
absa,laptop,train,7,"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",printer,positive,0
absa,laptop,train,300,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",applications,neutral,2
absa,laptop,train,2032,"The processor went on me, the fan went and the motherboard went.",fan,negative,1
absa,laptop,train,2807,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",mic jack,negative,1
absa,laptop,train,2437,Pay attention to the specs if you want these options.,specs,neutral,2
absa,laptop,train,2080,"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Snow Leopard,positive,0
absa,laptop,train,917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative,1
